LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1139.522917,1139.522898,1661327457.809695,79263.000,11080,1,T1,1,100,35.190
1139.657134,1139.657115,1661327457.943913,79393.000,11097,1,T1,1,100,35.295
1139.793417,1139.793398,1661327458.080195,79525.000,11131,1,T1,1,100,35.199
1139.927634,1139.927615,1661327458.214412,79655.000,11150,1,T1,1,100,35.192
1140.058754,1140.058735,1661327458.345532,79782.000,11168,1,T1,1,100,35.296
1140.190906,1140.190887,1661327458.477684,79910.000,11205,1,T1,1,100,35.270
1140.326156,1140.326137,1661327458.612934,80041.000,11221,1,T1,1,100,35.365
1140.460373,1140.460354,1661327458.747151,80171.000,11239,1,T1,1,100,35.371
1140.592525,1140.592506,1661327458.879303,80299.000,11255,1,T1,1,100,35.338
1140.723645,1140.723626,1661327459.010423,80426.000,11289,1,T1,1,100,35.288
1140.855797,1140.855778,1661327459.142576,80554.000,11306,1,T1,1,100,35.266
1140.993112,1140.993093,1661327459.279890,80687.000,11322,1,T1,1,100,35.293
1141.127329,1141.127310,1661327459.414108,80817.000,11360,1,T1,1,100,35.268
1141.259482,1141.259463,1661327459.546260,80945.000,11379,1,T1,1,100,35.364
1141.390601,1141.390582,1661327459.677380,81072.000,11396,1,T1,1,100,35.299
1141.524819,1141.524800,1661327459.811597,81202.000,11413,1,T1,1,100,35.271
1141.660068,1141.660049,1661327459.946847,81333.000,11450,1,T1,1,100,35.437
1141.792221,1141.792202,1661327460.078999,81461.000,11466,1,T1,1,100,35.437
1141.923341,1141.923322,1661327460.210119,81588.000,11485,1,T1,1,100,35.331
1142.060655,1142.060636,1661327460.347434,81721.000,11502,1,T1,1,100,35.356
1142.193840,1142.193821,1661327460.480618,81850.000,11539,1,T1,1,100,35.402
1142.326508,1142.326489,1661327460.613287,81978.500,11560,2,T1,1,100,35.387
1142.459177,1142.459158,1661327460.745955,82107.000,11560,2,T1,1,100,35.345
1142.591329,1142.591310,1661327460.878108,82235.000,11592,1,T1,1,100,35.291
1142.726579,1142.726560,1661327461.013358,82366.000,11609,1,T1,1,100,35.197
1142.858731,1142.858712,1661327461.145510,82494.000,11626,1,T1,1,100,35.298
1142.991916,1142.991897,1661327461.278695,82623.000,11661,1,T1,1,100,35.306
1143.124068,1143.124049,1661327461.410847,82751.000,11679,1,T1,1,100,35.345
1143.260350,1143.260332,1661327461.547129,82883.000,11696,1,T1,1,100,35.433
1143.392503,1143.392484,1661327461.679281,83011.000,11713,1,T1,1,100,35.365
1143.524655,1143.524636,1661327461.811434,83139.000,11744,1,T1,1,100,35.300
1143.657840,1143.657821,1661327461.944619,83268.000,11761,1,T1,1,100,35.413
1143.791025,1143.791006,1661327462.077804,83397.000,11778,1,T1,1,100,35.392
1143.923177,1143.923158,1661327462.209956,83525.000,11795,1,T1,1,100,35.311
1144.055329,1144.055310,1661327462.342108,83653.000,11829,2,T1,1,100,35.347
1144.187482,1144.187463,1661327462.474261,83781.000,11829,2,T1,1,100,35.363
1144.320666,1144.320648,1661327462.607445,83910.000,11846,1,T1,1,100,35.334
1144.453851,1144.453832,1661327462.740630,84039.000,11868,1,T1,1,100,35.287
1144.585487,1144.585468,1661327462.872266,84166.500,11885,2,T1,1,100,35.337
1144.717123,1144.717105,1661327463.003902,84294.000,11885,2,T1,1,100,35.288
1144.851341,1144.851322,1661327463.138120,84424.000,11902,1,T1,1,100,35.302
1144.987623,1144.987604,1661327463.274402,84556.000,11936,1,T1,1,100,35.308
1145.119775,1145.119756,1661327463.406554,84684.000,11954,1,T1,1,100,35.310
1145.250895,1145.250876,1661327463.537674,84811.000,11971,1,T1,1,100,35.347
1145.384080,1145.384061,1661327463.670859,84940.000,12003,1,T1,1,100,35.363
1145.519329,1145.519311,1661327463.806109,85071.000,12019,1,T1,1,100,35.405
1145.654579,1145.654560,1661327463.941358,85202.000,12036,1,T1,1,100,35.388
1145.786731,1145.786713,1661327464.073511,85330.000,12053,1,T1,1,100,35.416
1145.917851,1145.917832,1661327464.204631,85457.000,12089,1,T1,1,100,35.393
1146.051036,1146.051017,1661327464.337815,85586.000,12109,1,T1,1,100,35.312
1146.185253,1146.185234,1661327464.472033,85716.000,12125,1,T1,1,100,35.312
1146.319470,1146.319452,1661327464.606250,85846.000,12144,1,T1,1,100,35.277
1146.452655,1146.452636,1661327464.739435,85975.000,12176,1,T1,1,100,35.368
1146.584808,1146.584789,1661327464.871587,86103.000,12192,1,T1,1,100,35.478
1146.719025,1146.719006,1661327465.005804,86233.000,12210,1,T1,1,100,35.420
1146.855307,1146.855288,1661327465.142086,86365.000,12226,1,T1,1,100,35.359
1146.987459,1146.987440,1661327465.274239,86493.000,12260,1,T1,1,100,35.333
1147.118579,1147.118560,1661327465.405359,86620.000,12281,1,T1,1,100,35.392
1147.253829,1147.253810,1661327465.540608,86751.000,12297,1,T1,1,100,35.382
1147.387014,1147.386995,1661327465.673793,86880.000,12331,1,T1,1,100,35.307
1147.520198,1147.520179,1661327465.806978,87009.000,12348,1,T1,1,100,35.346
1147.653383,1147.653364,1661327465.940163,87138.000,12375,1,T1,1,100,35.327
1147.785535,1147.785517,1661327466.072315,87266.000,12392,1,T1,1,100,35.354
1147.921818,1147.921799,1661327466.208597,87398.000,12410,1,T1,1,100,35.331
