LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GX
1106.769787,1106.769768,1661327425.056559,47539.000,5687,3,GX,1,100,1.007
1106.809020,1106.809000,1661327425.095792,47577.000,5687,3,GX,1,100,0.793
1106.848941,1106.848921,1661327425.135713,47615.667,5703,3,GX,1,100,0.977
1106.888862,1106.888842,1661327425.175634,47654.333,5703,3,GX,1,100,1.465
1106.928783,1106.928763,1661327425.215555,47693.000,5703,3,GX,1,100,1.129
1106.969048,1106.969029,1661327425.255820,47732.000,5719,2,GX,1,100,1.526
1107.009314,1107.009294,1661327425.296085,47771.000,5719,2,GX,1,100,1.251
1107.049235,1107.049215,1661327425.336006,47809.667,5735,3,GX,1,100,-0.092
1107.089156,1107.089136,1661327425.375927,47848.333,5735,3,GX,1,100,0.092
1107.129077,1107.129057,1661327425.415848,47887.000,5735,3,GX,1,100,0.244
1107.168653,1107.168634,1661327425.455425,47925.333,5754,3,GX,1,100,0.488
1107.208230,1107.208210,1661327425.495002,47963.667,5754,3,GX,1,100,0.458
1107.247807,1107.247787,1661327425.534579,48002.000,5754,3,GX,1,100,0.763
1107.287040,1107.287020,1661327425.573812,48040.000,5770,2,GX,1,100,0.824
1107.326273,1107.326253,1661327425.613045,48078.000,5770,2,GX,1,100,0.427
1107.365505,1107.365486,1661327425.652277,48116.000,5788,3,GX,1,100,0.397
1107.404738,1107.404718,1661327425.691510,48154.000,5788,3,GX,1,100,0.793
1107.443971,1107.443951,1661327425.730743,48192.000,5788,3,GX,1,100,0.763
1107.484236,1107.484216,1661327425.771008,48231.000,5803,2,GX,1,100,0.916
1107.524501,1107.524481,1661327425.811273,48270.000,5803,2,GX,1,100,0.610
1107.564422,1107.564402,1661327425.851194,48308.667,5821,3,GX,1,100,0.763
1107.604343,1107.604323,1661327425.891115,48347.333,5821,3,GX,1,100,0.549
1107.644264,1107.644244,1661327425.931036,48386.000,5821,3,GX,1,100,0.336
1107.684185,1107.684165,1661327425.970957,48424.667,5838,3,GX,1,100,0.458
1107.724106,1107.724086,1661327426.010878,48463.333,5838,3,GX,1,100,0.946
1107.764027,1107.764007,1661327426.050799,48502.000,5838,3,GX,1,100,0.732
1107.803948,1107.803928,1661327426.090720,48540.667,5855,3,GX,1,100,0.580
1107.843869,1107.843849,1661327426.130641,48579.333,5855,3,GX,1,100,0.793
